Epochs,Meta,Num_Hidden,Priority
20,0,512,2
20,0,1024,2
20,0,2048,2
20,0,4096,2
20,0.5,512,2
20,0.5,1024,2
20,0.5,2048,2
20,0.5,4096,2
20,1,512,2
20,1,1024,2
20,1,2048,2
20,1,4096,2
20,1.35,512,2
20,1.35,1024,2
20,1.35,2048,2
20,1.35,4096,2
40,0,512,2
40,0,1024,2
40,0,2048,2
40,0,4096,2
40,0.5,512,2
40,0.5,1024,2
40,0.5,2048,2
40,0.5,4096,2
40,1,512,2
40,1,1024,2
40,1,2048,2
40,1,4096,2
40,1.35,512,2
40,1.35,1024,2
40,1.35,2048,2
40,1.35,4096,2
20,2,512,1
20,2,1024,1
20,2,2048,1
20,2,4096,1
40,2,512,1
40,2,1024,1
40,2,2048,1
40,2,4096,1
10,0,512,0
10,0,1024,0
10,0,2048,0
10,0,4096,0
10,0.5,512,0
10,0.5,1024,0
10,0.5,2048,0
10,0.5,4096,0
10,0.7,512,0
10,0.7,1024,0
10,0.7,2048,0
10,0.7,4096,0
10,1,512,0
10,1,1024,0
10,1,2048,0
10,1,4096,0
10,1.35,512,0
10,1.35,1024,0
10,1.35,2048,0
10,1.35,4096,0
10,1.5,512,0
10,1.5,1024,0
10,1.5,2048,0
10,1.5,4096,0
10,2,512,0
10,2,1024,0
10,2,2048,0
10,2,4096,0
10,3,512,0
10,3,1024,0
10,3,2048,0
10,3,4096,0
20,0.7,512,0
20,0.7,1024,0
20,0.7,2048,0
20,0.7,4096,0
20,1.5,512,0
20,1.5,1024,0
20,1.5,2048,0
20,1.5,4096,0
20,3,512,0
20,3,1024,0
20,3,2048,0
20,3,4096,0
40,0.7,512,0
40,0.7,1024,0
40,0.7,2048,0
40,0.7,4096,0
40,1.5,512,0
40,1.5,1024,0
40,1.5,2048,0
40,1.5,4096,0
40,3,512,0
40,3,1024,0
40,3,2048,0
40,3,4096,0
60,0,512,0
60,0,1024,0
60,0,2048,0
60,0,4096,0
60,0.5,512,0
60,0.5,1024,0
60,0.5,2048,0
60,0.5,4096,0
60,0.7,512,0
60,0.7,1024,0
60,0.7,2048,0
60,0.7,4096,0
60,1,512,0
60,1,1024,0
60,1,2048,0
60,1,4096,0
60,1.35,512,0
60,1.35,1024,0
60,1.35,2048,0
60,1.35,4096,0
60,1.5,512,0
60,1.5,1024,0
60,1.5,2048,0
60,1.5,4096,0
60,2,512,0
60,2,1024,0
60,2,2048,0
60,2,4096,0
60,3,512,0
60,3,1024,0
60,3,2048,0
60,3,4096,0